"ID","Ortnamn","N","E","LOPNR","Namntyp_nr","Språk_nr","Sockenstad_nr","Län_nr","Kommun_nr","Kombo","Sockenstad","nr"
60462,"Kvällträskmon",7112373.00,624262.00,3790099.00,5,5,23,1,12,"Kvällträskmon_3790099_23","Åsele",23
60463,"Kvällåmyran",7099743.00,634185.00,3790104.00,4,5,23,1,12,"Kvällåmyran_3790104_23","Åsele",23
60464,"Kyrkmyran",7111911.00,599084.00,3791739.00,4,5,23,1,12,"Kyrkmyran_3791739_23","Åsele",23
60465,"Kyrkmyran",7117783.00,594944.00,3791740.00,4,5,23,1,12,"Kyrkmyran_3791740_23","Åsele",23
60466,"Kyrkmyran",7115195.00,659676.00,3791741.00,4,5,8,1,12,"Kyrkmyran_3791741_8","Fredrika",8
60467,"Kyrktjärnen",7108501.00,597566.00,3792275.00,8,5,23,1,12,"Kyrktjärnen_3792275_23","Åsele",23
60468,"Kyrktjärnen",7126400.00,594524.00,3792276.00,8,5,23,1,12,"Kyrktjärnen_3792276_23","Åsele",23
60469,"Kyrktjärnen",7109795.00,643350.00,3792277.00,8,5,8,1,12,"Kyrktjärnen_3792277_8","Fredrika",8
60470,"Kyrkviken",7109784.00,608122.00,3792357.00,5,5,23,1,12,"Kyrkviken_3792357_23","Åsele",23
60471,"Kyrkviken",7141881.00,627240.00,3792423.00,6,5,23,1,12,"Kyrkviken_3792423_23","Åsele",23
60472,"Kyrkvägakullen",7093492.00,623957.00,3792447.00,5,5,23,1,12,"Kyrkvägakullen_3792447_23","Åsele",23
60473,"Kyrkvägamyran",7093728.00,624650.00,3792452.00,4,5,23,1,12,"Kyrkvägamyran_3792452_23","Åsele",23
60474,"Kyrkvägamyran",7145100.00,619980.00,3792453.00,4,5,23,1,12,"Kyrkvägamyran_3792453_23","Åsele",23
60475,"Kägelmyran",7110734.00,621892.00,3794434.00,4,5,23,1,12,"Kägelmyran_3794434_23","Åsele",23
60476,"Kälberget",7120326.00,632397.00,3794610.00,5,5,23,1,12,"Kälberget_3794610_23","Åsele",23
60477,"Källmyran",7134004.00,639674.00,3797101.00,4,5,23,1,12,"Källmyran_3797101_23","Åsele",23
60478,"Källviken",7110706.00,667286.00,3798320.00,6,5,8,1,12,"Källviken_3798320_8","Fredrika",8
60479,"Kälmyran",7093023.00,646978.00,3798638.00,4,5,23,1,12,"Kälmyran_3798638_23","Åsele",23
60480,"Kälmyran",7137806.00,614201.00,3798639.00,4,5,23,1,12,"Kälmyran_3798639_23","Åsele",23
60481,"Kälmyran",7118917.00,668084.00,3798640.00,4,5,8,1,12,"Kälmyran_3798640_8","Fredrika",8
60482,"Kälsbodarna",7094888.00,600089.00,3798680.00,5,5,23,1,12,"Kälsbodarna_3798680_23","Åsele",23
60483,"Kämpeltjärnen",7102072.00,606578.00,3798930.00,8,5,23,1,12,"Kämpeltjärnen_3798930_23","Åsele",23
60484,"Kämpeltjärnkullarna",7102569.00,607014.00,3798931.00,5,5,23,1,12,"Kämpeltjärnkullarna_3798931_23","Åsele",23
60485,"Kämpeltjärnmyran",7101827.00,606962.00,3798932.00,4,5,23,1,12,"Kämpeltjärnmyran_3798932_23","Åsele",23
60486,"Käpphelvetet",7101233.00,597934.00,3799142.00,4,5,23,1,12,"Käpphelvetet_3799142_23","Åsele",23
60487,"Käringberget",7132054.00,596520.00,3799354.00,5,5,23,1,12,"Käringberget_3799354_23","Åsele",23
60488,"Käringberget",7112516.00,676451.00,3799355.00,5,5,8,1,12,"Käringberget_3799355_8","Fredrika",8
60489,"Käringmyran",7140995.00,655521.00,3799690.00,4,5,8,1,12,"Käringmyran_3799690_8","Fredrika",8
60490,"Käringnålkullen",7088694.00,624589.00,3799721.00,5,5,23,1,12,"Käringnålkullen_3799721_23","Åsele",23
60491,"Käringnålmyran",7088739.00,624442.00,3799729.00,4,5,23,1,12,"Käringnålmyran_3799729_23","Åsele",23
60492,"Käringslåttmyran",7133172.00,620798.00,3799795.00,4,5,23,1,12,"Käringslåttmyran_3799795_23","Åsele",23
60493,"Käringträsket",7117106.00,646042.00,3799873.00,8,5,8,1,12,"Käringträsket_3799873_8","Fredrika",8
60494,"Kärleksön",7119999.00,591604.00,3800085.00,5,5,23,1,12,"Kärleksön_3800085_23","Åsele",23
60495,"Kärret",7111782.00,658430.00,3801009.00,8,5,8,1,12,"Kärret_3801009_8","Fredrika",8
60496,"Kökarberg",7141569.00,637209.00,3802301.00,1,5,23,1,12,"Kökarberg_3802301_23","Åsele",23
60497,"Kökarberget",7142393.00,638878.00,3802303.00,5,5,23,1,12,"Kökarberget_3802303_23","Åsele",23
60498,"Kökarudden",7119882.00,591429.00,3802305.00,5,5,23,1,12,"Kökarudden_3802305_23","Åsele",23
60499,"Lagmyran",7143233.00,631715.00,3805469.00,4,5,23,1,12,"Lagmyran_3805469_23","Åsele",23
60500,"Lagslåttestjärnen",7122136.00,602289.00,3805581.00,8,5,23,1,12,"Lagslåttestjärnen_3805581_23","Åsele",23
60501,"Lakasjö",7091981.00,637348.00,3805996.00,1,5,23,1,12,"Lakasjö_3805996_23","Åsele",23
60502,"Lakasjöberget",7090750.00,634898.00,3805998.00,5,5,23,1,12,"Lakasjöberget_3805998_23","Åsele",23
60503,"Lakasjöberget",7090518.00,635113.00,3805998.00,5,5,23,1,12,"Lakasjöberget_3805998_23","Åsele",23
